"open","high","low","close","volume","will5","will14","ema12","next1"
442,442,429.18,429.18,5.66,-100,-99.88943489,452.6485436,431.87
429.18,439.69,422.19,431.87,5.75,-73.92943711,-88.23958207,449.4518446,441.89
431.87,452.74,431.61,441.89,20.36,-40.24871095,-75.76577685,448.2884839,448.26
441.89,452,441.81,448.26,5.79,-14.66448445,-67.92963464,448.2841018,450.63
448.26,459.22,441.81,450.63,4.04,-23.19740751,-47.32357844,448.6450092,454.99
450.63,458,446.1,454.99,5.53,-11.4231704,-22.33009709,449.6211616,441.5
454.99,454.99,432.88,441.5,11.53,-64.17964506,-54.27421265,448.3717521,440.82
441.5,445.22,432.21,440.82,7.19,-68.12291744,-55.88444234,447.2099441,440.78
440.82,444.76,436.45,440.78,4.51,-68.27101074,-55.97916173,446.2207219,445.52
440.78,445.52,440.78,445.52,0.8711,-48.39084917,-44.75491357,446.1129186,449.59
445.52,449.59,440.89,449.59,3.02,-23.70500439,-26.20522489,446.6478542,453.83
449.59,453.83,447.1,453.83,5.59,0,-14.5557656,447.7527997,453.83
453.83,453.83,446.2,453.83,0.2061,0,-14.5557656,448.6877536,445.56
453.83,453.83,445.56,445.56,2.58,-63.37164751,-36.88900891,448.2065607,445.56
445.56,445.56,445.56,445.56,0,-63.91035549,-36.88900891,447.7993975,493.43
445.56,498.84,445.56,493.43,25.28,-10.1539039,-8.047002826,454.8194902,494.77
493.43,497.67,490.85,494.77,4.24,-7.638888889,-6.108359598,460.9657225,530
494.77,530,494.77,530,32.85,0,0,471.5863806,521.47
530,548.05,515.31,521.47,14.82,-25.93423749,-22.94544199,479.2607836,530
521.47,530,515.21,530,2.62,-17.61147429,-15.58183702,487.0668169,574.05
530,589,530,574.05,15.83,-15.23178808,-9.535046878,500.448845,583.2
574.05,589.11,563.68,583.2,10.95,-6.264574942,-3.871348094,513.179792,570.92
583.2,594.64,538.84,570.92,26.92,-29.86277225,-15.4166125,522.0629009,575.83
570.92,589.16,565.22,575.83,4.52,-23.68122875,-12.23414634,530.3347623,570.49
575.83,576.26,564.9,570.49,2.18,-37.36076733,-16.19935605,536.5124912,616.08
570.49,628.61,566.15,616.08,18.38,-13.95789239,-6.845124283,548.7536464,628.13
616.08,628.13,603.87,628.13,15.4,-0.534699788,-0.262223436,560.9653931,627.54
628.13,673.37,621.79,627.54,37.05,-42.25131373,-20.11764189,571.2076403,665.58
627.54,672.64,621.79,665.58,10.32,-7.181709228,-3.419516264,585.7264649,671.43
665.58,677.91,652.26,671.43,16.68,-5.798138869,-3.464129156,598.9116241,650.48
671.43,671.43,525,650.48,59.16,-17.93865673,-14.97761276,606.8452204,657.01
650.48,669.75,650.45,657.01,15.16,-13.66817082,-12.84572833,614.5628788,653.4
657.01,660,653.4,653.4,5.27,-16.02903669,-15.06453596,620.5378205,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,-11.84356811,626.5781558,646.54
659.8,659.8,646,646.54,0.888,-16.99788295,-20.51533582,629.6492088,643.44
646.54,656.44,636.5,643.44,4.65,-79.12781955,-22.54267216,631.770869,646.89
643.44,657.72,643.44,646.89,7.13,-55.78723404,-20.28644301,634.0968891,617.99
646.89,649.93,617.99,617.99,19.6,-100,-39.18644955,631.6189062,565.56
