"open","high","low","close","volume","will14","ema26","next1"
530,548.05,515.31,521.47,14.82,-22.94544199,469.2295495,530
521.47,530,515.21,530,2.62,-15.58183702,473.7310644,574.05
530,589,530,574.05,15.83,-9.535046878,481.1620967,583.2
574.05,589.11,563.68,583.2,10.95,-3.871348094,488.7204599,570.92
583.2,594.64,538.84,570.92,26.92,-15.4166125,494.8093147,575.83
570.92,589.16,565.22,575.83,4.52,-12.23414634,500.8108469,570.49
575.83,576.26,564.9,570.49,2.18,-16.19935605,505.9722657,616.08
570.49,628.61,566.15,616.08,18.38,-6.845124283,514.1283941,628.13
616.08,628.13,603.87,628.13,15.4,-0.262223436,522.5729575,627.54
628.13,673.37,621.79,627.54,37.05,-20.11764189,530.348294,665.58
627.54,672.64,621.79,665.58,10.32,-3.419516264,540.3654574,671.43
665.58,677.91,652.26,671.43,16.68,-3.464129156,550.0739421,650.48
671.43,671.43,525,650.48,59.16,-14.97761276,557.5114278,657.01
650.48,669.75,650.45,657.01,15.16,-12.84572833,564.8816924,653.4
657.01,660,653.4,653.4,5.27,-15.06453596,571.4386041,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,577.9838927,646.54
659.8,659.8,646,646.54,0.888,-20.51533582,583.0621229,643.44
646.54,656.44,636.5,643.44,4.65,-22.54267216,587.5345582,646.89
643.44,657.72,643.44,646.89,7.13,-20.28644301,591.9312576,617.99
646.89,649.93,617.99,617.99,19.6,-39.18644955,593.8615348,565.56
617.99,637.06,552,565.56,75.97,-73.4745929,591.7651248,589.68
565.56,617.31,565.56,589.68,19.43,-57.7006082,591.6106711,575.6
589.68,600,542.96,575.6,15.89,-66.90863907,590.4246955,589.55
575.6,589.55,534.28,589.55,34.51,-57.78562553,590.3599032,597.14
589.55,612.91,574.18,597.14,10.67,-52.82192139,590.8621326,608.97
597.14,608.98,586.25,608.97,2.8,-42.65519361,592.2034561,605.89
608.97,625,603.41,605.89,10,-47.1395881,593.2172742,595.93
605.89,627.05,594.12,595.93,8.41,-50.96245625,593.4182169,593.9
595.93,602.79,578.51,593.9,5.81,-52.50159337,593.4539045,590.59
593.9,598.5,581.09,590.59,0.7642,-55.13862333,593.2417634,596.24
590.59,602.33,584.75,596.24,8.34,-49.80557356,593.463855,584.42
596.24,596.24,584.42,584.42,2.64,-59.38107583,592.7939398,586.15
584.42,595.23,576.13,586.15,2.85,-55.14915694,592.3017961,564.42
586.15,586.15,557.43,564.42,29.23,-70.67522864,590.2364779,583.26
564.42,583.26,564.42,583.26,2.76,-47.20275951,589.7197018,597.69
583.26,600,575.35,597.69,21.78,-31.64816212,590.3100942,596.12
597.69,604.38,590.76,596.12,4.14,-33.34051956,590.7404576,589.76
596.12,602.3,589.76,589.76,0.9983,-53.56219477,590.6678311,637.07
589.76,645,587.72,637.07,18.67,-9.055612653,594.1050288,650
637.07,657.83,634.16,650,12.04,-7.798804781,598.2453971,645.77
650,658.87,638,645.77,25.77,-12.91403785,601.765738,647.55
645.77,655.08,638.89,647.55,6.04,-11.15930599,605.1571648,635.25
647.55,655,622.6,635.25,10.3,-23.28470032,607.3862637,628.99
635.25,635.25,618,628.99,3.74,-29.45583596,608.9865405,629.1
628.99,652.78,628.99,629.1,2.25,-29.34739748,610.4764264,625.99
629.1,638.97,614.74,625.99,6.47,-32.41324921,611.62558,617.04
625.99,626.87,614.74,617.04,1.44,-41.23619874,612.0266481,627.9
617.04,627.9,615.35,627.9,1.63,-32.78983589,613.202452,614.47
627.9,632.11,614.47,614.47,0.6427,-53.16091954,613.2963444,629.46
614.47,629.46,614.47,629.46,1.5,-41.33520731,614.4936522,632
629.46,639.34,629.46,632,0.6899,-37.76528461,615.7904187,626.5
632,653.49,625.29,626.5,1.05,-45.49543219,616.5837211,626.23
626.5,632.67,618.14,626.23,1.34,-73.51351351,617.2982602,620.03
626.23,626.23,620.03,620.03,0.18,-87.47747748,617.5006113,625.22
620.03,626.16,612.9,625.22,7.41,-70.79184448,618.0724179,624.98
625.22,630.01,610.35,624.98,0.9631,-67.23404255,618.5840906,626
624.98,629,615.17,626,12.29,-63.7227631,619.1334173,630
626,630,626,630,1.56,-54.45062587,619.9383493,619
630,630,619,619,0.5068,-79.94900325,619.868842,629.77
619,629.77,619,629.77,0.0006352,-54.98377376,620.6022611,618.69
629.77,629.77,618.69,618.69,8.44,-80.66759388,620.4606121,618.62
618.69,623.98,610,618.62,7.5,-80.17935158,620.3242705,605.64
618.62,623.43,593.86,605.64,17.72,-80.2448432,619.2365467,596.08
605.64,623.22,593.8,596.08,8.67,-96.1802647,617.521247,600
596.08,607.96,593.8,600,5.06,-89.6130005,616.2233768,600
600,600,600,600,0.1545,-84.04939542,615.0216452,591.9
600,600,574.58,591.9,4.09,-68.75338264,613.3089308,583.21
591.9,597.66,575.07,583.21,2.68,-84.43081364,611.0793803,566.75
583.21,588.98,566.75,566.75,11.67,-100,607.7957225,590.21
566.75,591.95,566.75,590.21,33.05,-62.90909091,606.4930764,596.4
590.21,602.36,584.77,596.4,3.05,-53.12252964,605.7454411,590.49
596.4,601.18,590.49,590.49,2.57,-62.46640316,604.6154084,578.86
590.49,594.8,578.86,578.86,1.79,-80.78387813,602.7076004,596.25
578.86,596.25,578.86,596.25,4.11,-53.18946366,602.2292596,579
596.25,598.03,579,579,9.04,-78.59514241,600.5085737,579
579,579,579,579,0,-78.38743825,598.9153461,580.58
579,593,577.24,580.58,16.81,-75.50911989,597.5571723,590
580.58,590,580.58,590,0.4273,-43.58165494,596.9973817,590
590,590,578.14,590,7.8,-34.70935131,596.4790572,583.24
590,595.36,583.24,583.24,1.66,-53.69278293,595.4983863,572.77
583.24,595.36,572.77,572.77,0.4779,-83.09463634,593.8148021,580
572.77,580,566.99,580,3.82,-62.79135074,592.7914834,535.08
580,580,531.64,535.08,4.35,-95.13574661,588.5165587,523.76
535.08,553.83,501,523.76,31.83,-77.54538279,583.7197766,530
523.76,530,501,530,22.87,-71.05210621,579.7405339,503.52
530,530,500,503.52,12.1,-96.40926247,574.0945684,500
503.52,539.99,500,500,2.65,-100,568.6060819,455
500,505,455,455,28.55,-100,560.1908165,500.5
455,500.5,455,500.5,77.76,-67.58335708,555.7692746,530
474.02,530,474.02,530,13.53,-46.56597321,553.8604394,505
530,530,500.01,505,4.62,-64.37731547,550.2411476,529.95
505,529.97,482.22,529.95,9.62,-46.6015959,548.7380996,525
529.95,529.95,482.27,525,0.5639,-50.12824166,546.9797219,524.88
525,525,524.88,524.88,0.7,-50.21373611,545.3427055,516.12
524.88,524.88,490.1,516.12,26.86,-51.104,543.1780606,516.12
516.12,516.12,516.12,516.12,0,-51.104,541.1737598,524.85
516.12,524.85,516.12,524.85,1.31,-29.32308004,539.9645924,495.08
524.85,524.85,495.08,495.08,0.02382,-52.84151077,536.6398078,524.88
495.08,524.88,495.08,524.88,0.5178,-17.77856218,535.7687109,524.27
524.88,524.88,495.26,524.27,0.4584,-18.49629368,534.9169546,509.98
524.27,524.27,490.5,509.98,5.61,-26.69333333,533.0697727,490.01
