"open","high","low","close","volume","will5","next1"
583.24,595.36,572.77,572.77,0.4779,-100,580
572.77,580,566.99,580,3.82,-54.14169898,535.08
580,580,531.64,535.08,4.35,-94.60138104,523.76
535.08,553.83,501,523.76,31.83,-75.87961,530
523.76,530,501,530,22.87,-69.26663841,503.52
530,530,500,503.52,12.1,-95.6,500
503.52,539.99,500,500,2.65,-100,455
500,505,455,455,28.55,-100,500.5
455,500.5,455,500.5,77.76,-46.46428992,530
474.02,530,474.02,530,13.53,-11.75432404,505
530,530,500.01,505,4.62,-41.16954936,529.95
505,529.97,482.22,529.95,9.62,-0.066666667,525
529.95,529.95,482.27,525,0.5639,-6.666666667,524.88
525,525,524.88,524.88,0.7,-9.146123616,516.12
524.88,524.88,490.1,516.12,26.86,-29.04981164,516.12
516.12,516.12,516.12,516.12,0,-29.0052356,524.85
516.12,524.85,516.12,524.85,1.31,-10.69630872,495.08
524.85,524.85,495.08,495.08,0.02382,-85.73065903,524.88
495.08,524.88,495.08,524.88,0.5178,0,524.27
524.88,524.88,495.26,524.27,0.4584,-2.046979866,509.98
524.27,524.27,490.5,509.98,5.61,-43.33915067,490.01
509.98,509.98,490.01,490.01,0.09953,-100,524.77
490.01,524.77,490.01,524.77,3.811e-05,-0.315457413,524.77
524.77,524.77,524.77,524.77,0,-0.315457413,475.01
524.77,524.77,475,475.01,3.41,-99.97990757,475.01
475.01,475.01,475.01,475.01,0,-99.97990757,524.77
475.01,524.77,475.01,524.77,0.1769,0,480
524.77,524.77,480,480,1.24,-89.95378742,488.77
480,524.77,465,488.77,41.14,-60.23088506,475
488.77,488.77,465,475,0.5077,-83.26919859,475
475,475,475,475,0.02,-83.26919859,475
475,475,475,475,1.01,-83.26919859,475
475,475,475,475,0,-83.26919859,474.77
475,475,474.77,474.77,0.1492,-58.8977703,490
474.77,490,474.77,490,0.212,0,465.01
490,490,465.01,465.01,3.08,-100,465
465.01,528,465,465,2.76,-100,445
465,465,445,445,5.14,-100,503.18
445,503.18,400,503.18,18.12,-19.390625,375.94
503.18,503.18,375.94,375.94,1.5,-100,385
375.94,466.67,375.94,385,0.1559,-94.0418256,385.01
385,450,385,385.01,1.2,-92.87173845,404.83
385.01,425,295,404.83,24.18,-47.24277068,449.81
404.83,453,404.83,449.81,6.9,-25.63646844,433.15
449.81,449.81,412.34,433.15,4.09,-19.52583445,397
433.15,433.15,397,397,4.51,-35.44303797,397
397,397,397,397,0,-35.44303797,397
397,397,397,397,0,-100,390
397,450,387.63,390,10.78,-96.2000962,370.94
390,394,370.01,370.94,0.7155,-98.83735467,380.02
370.94,393.22,370.12,380.02,6.68,-87.48593574,390
380.02,390,380.02,390,2,-75.00937617,370.11
390,390,370.1,370.11,0.275,-99.87498437,355
370.11,389.98,355,355,20.27,-100,322.11
355,369.63,322.11,322.11,38.11,-100,330
322.11,330,273.33,330,18.72,-51.42710208,349.85
330,349.85,300,349.85,53.41,-34.41330248,335
349.85,349.85,315.06,335,0.12,-47.13244749,359.98
335,359.98,335,359.98,8.1,-10.02076843,370.19
359.98,400,335.16,370.19,30.22,-23.53359122,355.59
370.19,378.99,355.59,355.59,7.78,-44.41,357.18
355.59,379,355.59,357.18,0.4618,-50.41205557,379
357.18,379,352.83,379,16.63,-32.30769231,400
379,400,370.1,400,20.85,0,411.26
400,418.99,395.28,411.26,29.73,-11.68379686,400.31
411.26,411.26,385.48,400.31,11.23,-28.23458283,389.14
400.31,400.31,374.61,389.14,16.08,-45.11789601,381.01
389.14,389.14,376.73,381.01,0.05216,-77.68459808,395.79
381.01,395.79,371,395.79,0.9598,-48.34340488,395.79
395.79,395.79,395.79,395.79,0,-38.42523597,391.24
395.79,395.79,391.24,391.24,0.05,-30.94506994,391.58
391.24,391.58,371,391.58,9.92,-16.9826543,388.71
