"open","high","low","close","volume","ema26","ltc","next1"
530,530,500.01,505,4.62,550.2411476,0.01115,529.95
505,529.97,482.22,529.95,9.62,548.7380996,0.01033,525
529.95,529.95,482.27,525,0.5639,546.9797219,0.009691,524.88
525,525,524.88,524.88,0.7,545.3427055,0.01064,516.12
524.88,524.88,490.1,516.12,26.86,543.1780606,0.01036,516.12
516.12,516.12,516.12,516.12,0,541.1737598,0.01085,524.85
516.12,524.85,516.12,524.85,1.31,539.9645924,0.01058,495.08
524.85,524.85,495.08,495.08,0.02382,536.6398078,0.01033,524.88
495.08,524.88,495.08,524.88,0.5178,535.7687109,0.01058,524.27
524.88,524.88,495.26,524.27,0.4584,534.9169546,0.01038,509.98
524.27,524.27,490.5,509.98,5.61,533.0697727,0.01021,490.01
509.98,509.98,490.01,490.01,0.09953,529.8801599,0.01012,524.77
490.01,524.77,490.01,524.77,3.811e-05,529.5016296,0.01015,524.77
524.77,524.77,524.77,524.77,0,529.1511385,0.01023,475.01
524.77,524.77,475,475.01,3.41,525.1406838,0.01061,475.01
475.01,475.01,475.01,475.01,0,521.4272998,0.0103,524.77
475.01,524.77,475.01,524.77,0.1769,521.6749072,0.01029,480
524.77,524.77,480,480,1.24,518.5878771,0.01068,488.77
480,524.77,465,488.77,41.14,516.3791454,0.01065,475
488.77,488.77,465,475,0.5077,513.3140235,0.01064,475
475,475,475,475,0.02,510.4759477,0.01107,475
475,475,475,475,1.01,507.8480998,0.01131,475
475,475,475,475,0,505.4149072,0.01127,474.77
475,475,474.77,474.77,0.1492,503.1449141,0.01135,490
474.77,490,474.77,490,0.212,502.1712167,0.01128,465.01
490,490,465.01,465.01,3.08,499.418534,0.01096,465
465.01,528,465,465,2.76,496.869013,0.01097,445
465,465,445,445,5.14,493.0268639,0.01111,503.18
445,503.18,400,503.18,18.12,493.778948,0.0112,375.94
503.18,503.18,375.94,375.94,1.5,485.050137,0.01109,385
375.94,466.67,375.94,385,0.1559,477.6390158,0.01058,385.01
385,450,385,385.01,1.2,470.7776072,0.01067,404.83
385.01,425,295,404.83,24.18,465.8925993,0.01061,449.81
404.83,453,404.83,449.81,6.9,464.7012956,0.01102,433.15
449.81,449.81,412.34,433.15,4.09,462.3641626,0.01106,397
433.15,433.15,397,397,4.51,457.5223728,0.011,397
397,397,397,397,0,453.0392341,0.01103,397
397,397,397,397,0,448.8881797,0.01113,390
397,450,387.63,390,10.78,444.5260923,0.01126,370.94
390,394,370.01,370.94,0.7155,439.0752706,0.0113,380.02
370.94,393.22,370.12,380.02,6.68,434.7008062,0.01154,390
380.02,390,380.02,390,2,431.3896353,0.01163,370.11
