"open","high","low","close","volume","will14","ema12","next1"
429.18,439.69,422.19,431.87,5.75,-88.23958207,449.4518446,441.89
431.87,452.74,431.61,441.89,20.36,-75.76577685,448.2884839,448.26
441.89,452,441.81,448.26,5.79,-67.92963464,448.2841018,450.63
448.26,459.22,441.81,450.63,4.04,-47.32357844,448.6450092,454.99
450.63,458,446.1,454.99,5.53,-22.33009709,449.6211616,441.5
454.99,454.99,432.88,441.5,11.53,-54.27421265,448.3717521,440.82
441.5,445.22,432.21,440.82,7.19,-55.88444234,447.2099441,440.78
440.82,444.76,436.45,440.78,4.51,-55.97916173,446.2207219,445.52
440.78,445.52,440.78,445.52,0.8711,-44.75491357,446.1129186,449.59
445.52,449.59,440.89,449.59,3.02,-26.20522489,446.6478542,453.83
449.59,453.83,447.1,453.83,5.59,-14.5557656,447.7527997,453.83
453.83,453.83,446.2,453.83,0.2061,-14.5557656,448.6877536,445.56
453.83,453.83,445.56,445.56,2.58,-36.88900891,448.2065607,445.56
445.56,445.56,445.56,445.56,0,-36.88900891,447.7993975,493.43
445.56,498.84,445.56,493.43,25.28,-8.047002826,454.8194902,494.77
493.43,497.67,490.85,494.77,4.24,-6.108359598,460.9657225,530
494.77,530,494.77,530,32.85,0,471.5863806,521.47
530,548.05,515.31,521.47,14.82,-22.94544199,479.2607836,530
521.47,530,515.21,530,2.62,-15.58183702,487.0668169,574.05
530,589,530,574.05,15.83,-9.535046878,500.448845,583.2
574.05,589.11,563.68,583.2,10.95,-3.871348094,513.179792,570.92
583.2,594.64,538.84,570.92,26.92,-15.4166125,522.0629009,575.83
570.92,589.16,565.22,575.83,4.52,-12.23414634,530.3347623,570.49
575.83,576.26,564.9,570.49,2.18,-16.19935605,536.5124912,616.08
570.49,628.61,566.15,616.08,18.38,-6.845124283,548.7536464,628.13
616.08,628.13,603.87,628.13,15.4,-0.262223436,560.9653931,627.54
628.13,673.37,621.79,627.54,37.05,-20.11764189,571.2076403,665.58
627.54,672.64,621.79,665.58,10.32,-3.419516264,585.7264649,671.43
665.58,677.91,652.26,671.43,16.68,-3.464129156,598.9116241,650.48
671.43,671.43,525,650.48,59.16,-14.97761276,606.8452204,657.01
650.48,669.75,650.45,657.01,15.16,-12.84572833,614.5628788,653.4
657.01,660,653.4,653.4,5.27,-15.06453596,620.5378205,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,626.5781558,646.54
659.8,659.8,646,646.54,0.888,-20.51533582,629.6492088,643.44
646.54,656.44,636.5,643.44,4.65,-22.54267216,631.770869,646.89
643.44,657.72,643.44,646.89,7.13,-20.28644301,634.0968891,617.99
646.89,649.93,617.99,617.99,19.6,-39.18644955,631.6189062,565.56
617.99,637.06,552,565.56,75.97,-73.4745929,621.4559975,589.68
565.56,617.31,565.56,589.68,19.43,-57.7006082,616.5673825,575.6
589.68,600,542.96,575.6,15.89,-66.90863907,610.2647083,589.55
575.6,589.55,534.28,589.55,34.51,-57.78562553,607.0778301,597.14
589.55,612.91,574.18,597.14,10.67,-52.82192139,605.5489332,608.97
597.14,608.98,586.25,608.97,2.8,-42.65519361,606.0752511,605.89
608.97,625,603.41,605.89,10,-47.1395881,606.046751,595.93
605.89,627.05,594.12,595.93,8.41,-50.96245625,604.4903277,593.9
595.93,602.79,578.51,593.9,5.81,-52.50159337,602.8610465,590.59
593.9,598.5,581.09,590.59,0.7642,-55.13862333,600.9731932,596.24
590.59,602.33,584.75,596.24,8.34,-49.80557356,600.2450097,584.42
596.24,596.24,584.42,584.42,2.64,-59.38107583,597.8103928,586.15
584.42,595.23,576.13,586.15,2.85,-55.14915694,596.0164862,564.42
586.15,586.15,557.43,564.42,29.23,-70.67522864,591.1554883,583.26
564.42,583.26,564.42,583.26,2.76,-47.20275951,589.9407978,597.69
583.26,600,575.35,597.69,21.78,-31.64816212,591.1329828,596.12
597.69,604.38,590.76,596.12,4.14,-33.34051956,591.9002162,589.76
596.12,602.3,589.76,589.76,0.9983,-53.56219477,591.5709522,637.07
589.76,645,587.72,637.07,18.67,-9.055612653,598.5708057,650
637.07,657.83,634.16,650,12.04,-7.798804781,606.4829894,645.77
650,658.87,638,645.77,25.77,-12.91403785,612.5271449,647.55
645.77,655.08,638.89,647.55,6.04,-11.15930599,617.9152764,635.25
647.55,655,622.6,635.25,10.3,-23.28470032,620.582157,628.99
635.25,635.25,618,628.99,3.74,-29.45583596,621.8756713,629.1
628.99,652.78,628.99,629.1,2.25,-29.34739748,622.9871065,625.99
629.1,638.97,614.74,625.99,6.47,-32.41324921,623.4490901,617.04
625.99,626.87,614.74,617.04,1.44,-41.23619874,622.4630762,627.9
617.04,627.9,615.35,627.9,1.63,-32.78983589,623.2995261,614.47
627.9,632.11,614.47,614.47,0.6427,-53.16091954,621.9411374,629.46
614.47,629.46,614.47,629.46,1.5,-41.33520731,623.0978855,632
629.46,639.34,629.46,632,0.6899,-37.76528461,624.4674416,626.5
632,653.49,625.29,626.5,1.05,-45.49543219,624.7801429,626.23
626.5,632.67,618.14,626.23,1.34,-73.51351351,625.0031978,620.03
626.23,626.23,620.03,620.03,0.18,-87.47747748,624.2380905,625.22
620.03,626.16,612.9,625.22,7.41,-70.79184448,624.3891535,624.98
625.22,630.01,610.35,624.98,0.9631,-67.23404255,624.4800529,626
624.98,629,615.17,626,12.29,-63.7227631,624.7138909,630
626,630,626,630,1.56,-54.45062587,625.5271385,619
630,630,619,619,0.5068,-79.94900325,624.5229633,629.77
619,629.77,619,629.77,0.0006352,-54.98377376,625.3301998,618.69
629.77,629.77,618.69,618.69,8.44,-80.66759388,624.3086306,618.62
618.69,623.98,610,618.62,7.5,-80.17935158,623.4334566,605.64
618.62,623.43,593.86,605.64,17.72,-80.2448432,620.6960018,596.08
605.64,623.22,593.8,596.08,8.67,-96.1802647,616.9089246,600
596.08,607.96,593.8,600,5.06,-89.6130005,614.3075516,600
600,600,600,600,0.1545,-84.04939542,612.1063898,591.9
600,600,574.58,591.9,4.09,-68.75338264,608.9977144,583.21
591.9,597.66,575.07,583.21,2.68,-84.43081364,605.0303737,566.75
583.21,588.98,566.75,566.75,11.67,-100,599.1410855,590.21
