"open","high","low","close","volume","next1"
400,400,370.39,375.02,13.23,390
375.02,392.96,375.02,390,0.9256,354.38
390,390,354.33,354.38,67.07,360
354.38,360,342.66,360,1.64,370
360,370,360,370,4.05,370
370,370,360,370,4.76,372
370,385,370,372,11.24,376
372,390,372,376,10.13,372.87
376,389.94,366.42,372.87,19.24,376.9
372.87,385.69,365.01,376.9,2.38,387
376.9,387,360.52,387,23.27,379.09
387,387,379.09,379.09,4.2,386.32
379.09,386.32,379.09,386.32,0.001595,374.03
386.32,386.74,370.13,374.03,4.18,386.15
374.03,386.15,372.91,386.15,3.81,380
386.15,386.15,371.46,380,23.49,379.75
380,380,364.72,379.75,3.76,375.19
379.75,380,375.19,375.19,4.68,374
375.19,394.59,367,374,34.17,373.07
374,389.98,370.43,373.07,0.3818,362.58
373.07,376.06,360.29,362.58,4.53,345.49
362.58,376,342.46,345.49,6.64,345.56
345.49,357.5,345.49,345.56,0.1607,372.12
345.56,372.12,342.5,372.12,0.7364,360
372.12,372.12,346.77,360,0.9118,352
360,360,350,352,33.15,350
352,358.98,350,350,0.6043,343.07
350,358.98,342.04,343.07,22.78,330.09
342.04,358.92,330.09,330.09,4.45,329.99
330.09,355.33,315.02,329.99,30.11,320
329.99,332.17,310,320,5.86,349.98
320,368.12,310.03,349.98,23.07,348.99
349.98,349.98,348.99,348.99,1.87,325.01
348.99,348.99,319.67,325.01,39.87,327.06
325.01,327.06,325.01,327.06,1.08,338.75
327.06,342.08,327.06,338.75,0.5716,320.38
338.75,338.75,320.38,320.38,4.11,320.38
320.38,320.38,320.38,320.38,0,320.48
320.38,320.48,320.38,320.48,0.01,313.37
320.48,320.48,313.37,313.37,3.74,313.01
313.37,320.04,313.01,313.01,1.9,314.76
313.01,325,313.01,314.76,29.97,313
314.76,338.95,313,313,4.55,319.14
313,319.14,313,319.14,9.61,325
319.14,325,314.03,325,0.435,315.3
325,325,313.18,315.3,8.92,295
315.3,319.93,295,295,52.48,265.87
295,297.48,265.87,265.87,25.49,277.4
265.87,280,252.32,277.4,61.92,281.15
277.4,293.66,260,281.15,8.48,300
281.15,300,269,300,7.71,283.53
300,300,283.53,283.53,8.34,283.5
283.53,295.72,283,283.5,3.5,277.78
283.5,300,274.73,277.78,53.89,265
277.78,277.78,265,265,1.77,265.06
265,300,263.02,265.06,59.03,216
265.06,268,215.09,216,200.71,175
216,230.99,175,175,204.92,219
175,236.47,175,219,133.32,213.36
219,219,195.2,213.36,44.71,200
213.36,213.36,196,200,9.22,219.98
200,220,199.5,219.98,31.12,211.01
219.98,219.98,206,211.01,7.54,219.82
211.01,219.84,208.4,219.82,5.22,224.49
219.82,225.91,206.1,224.49,47.35,227.02
224.49,241.02,224.49,227.02,26.41,228.04
227.02,231.24,222.68,228.04,10.24,250.87
228.04,251.36,228.02,250.87,108.7,257.06
250.87,257.06,241.28,257.06,46.71,270
257.06,307.05,250.04,270,86.66,250.85
270,270,205,250.85,59.44,248
250.85,280,248,248,66.57,231.83
248,248,222.28,231.83,36.22,220
