"open","high","low","close","volume","will5","ema12","ema26","next1"
630,630,619,619,0.5068,-56.00203459,624.5229633,619.868842,629.77
619,629.77,619,629.77,0.0006352,-1.220752798,625.3301998,620.6022611,618.69
629.77,629.77,618.69,618.69,8.44,-76.26432906,624.3086306,620.4606121,618.62
618.69,623.98,610,618.62,7.5,-56.9,623.4334566,620.3242705,605.64
618.62,623.43,593.86,605.64,17.72,-67.40453791,620.6960018,619.2365467,596.08
605.64,623.22,593.8,596.08,8.67,-93.66138449,616.9089246,617.521247,600
596.08,607.96,593.8,600,5.06,-82.76341396,614.3075516,616.2233768,600
600,600,600,600,0.1545,-79.45659377,612.1063898,615.0216452,591.9
600,600,574.58,591.9,4.09,-64.54452405,608.9977144,613.3089308,583.21
591.9,597.66,575.07,583.21,2.68,-82.25740132,605.0303737,611.0793803,566.75
583.21,588.98,566.75,566.75,11.67,-100,599.1410855,607.7957225,590.21
566.75,591.95,566.75,590.21,33.05,-29.44360902,597.7670723,606.4930764,596.4
590.21,602.36,584.77,596.4,3.05,-16.73687167,597.5567535,605.7454411,590.49
596.4,601.18,590.49,590.49,2.57,-33.33333333,596.4695607,604.6154084,578.86
590.49,594.8,578.86,578.86,1.79,-65.99269868,593.7603975,602.7076004,596.25
578.86,596.25,578.86,596.25,4.11,-17.15810166,594.1434133,602.2292596,579
596.25,598.03,579,579,9.04,-99.40425532,591.8136574,600.5085737,579
579,579,579,579,0,-99.37275986,589.8423255,598.9153461,580.58
579,593,577.24,580.58,16.81,-83.93458393,588.4173523,597.5571723,590
580.58,590,580.58,590,0.4273,-38.62433862,588.6608366,596.9973817,590
590,590,578.14,590,7.8,-38.62433862,588.8668617,596.4790572,583.24
590,595.36,583.24,583.24,1.66,-66.88741722,588.0011907,595.4983863,572.77
583.24,595.36,572.77,572.77,0.4779,-100,585.6579306,593.8148021,580
572.77,580,566.99,580,3.82,-54.14169898,584.7874797,592.7914834,535.08
580,580,531.64,535.08,4.35,-94.60138104,577.1401751,588.5165587,523.76
535.08,553.83,501,523.76,31.83,-75.87961,568.9278405,583.7197766,530
