open,high,low,close,volume,nextvolume
595.93,602.79,578.51,593.9,5.81,0.7642
593.9,598.5,581.09,590.59,0.7642,8.34
590.59,602.33,584.75,596.24,8.34,2.64
596.24,596.24,584.42,584.42,2.64,2.85
584.42,595.23,576.13,586.15,2.85,29.23
586.15,586.15,557.43,564.42,29.23,2.76
564.42,583.26,564.42,583.26,2.76,21.78
583.26,600,575.35,597.69,21.78,4.14
597.69,604.38,590.76,596.12,4.14,0.9983
596.12,602.3,589.76,589.76,0.9983,18.67
589.76,645,587.72,637.07,18.67,12.04
637.07,657.83,634.16,650,12.04,25.77
650,658.87,638,645.77,25.77,6.04
645.77,655.08,638.89,647.55,6.04,10.3
647.55,655,622.6,635.25,10.3,3.74
635.25,635.25,618,628.99,3.74,2.25
628.99,652.78,628.99,629.1,2.25,6.47
629.1,638.97,614.74,625.99,6.47,1.44
625.99,626.87,614.74,617.04,1.44,1.63
617.04,627.9,615.35,627.9,1.63,0.6427
627.9,632.11,614.47,614.47,0.6427,1.5
614.47,629.46,614.47,629.46,1.5,0.6899
629.46,639.34,629.46,632,0.6899,1.05
632,653.49,625.29,626.5,1.05,1.34
626.5,632.67,618.14,626.23,1.34,0.18
626.23,626.23,620.03,620.03,0.18,7.41
620.03,626.16,612.9,625.22,7.41,0.9631
625.22,630.01,610.35,624.98,0.9631,12.29
624.98,629,615.17,626,12.29,1.56
626,630,626,630,1.56,0.5068
630,630,619,619,0.5068,0.0006352
619,629.77,619,629.77,0.0006352,8.44
629.77,629.77,618.69,618.69,8.44,7.5
618.69,623.98,610,618.62,7.5,17.72
618.62,623.43,593.86,605.64,17.72,8.67
605.64,623.22,593.8,596.08,8.67,5.06
596.08,607.96,593.8,600,5.06,0.1545
600,600,600,600,0.1545,4.09
600,600,574.58,591.9,4.09,2.68
591.9,597.66,575.07,583.21,2.68,11.67
583.21,588.98,566.75,566.75,11.67,33.05
566.75,591.95,566.75,590.21,33.05,3.05
590.21,602.36,584.77,596.4,3.05,2.57
596.4,601.18,590.49,590.49,2.57,1.79
590.49,594.8,578.86,578.86,1.79,4.11
578.86,596.25,578.86,596.25,4.11,9.04
