"open","high","low","close","volume","ema26","cny","next1"
448.34,464.42,448,459.32,14.51,478.433562,6.239936,455.16
459.32,459.32,446.49,455.16,7.08,476.7095945,6.240598,441.04
455.16,455.16,432.43,441.04,8.5,474.0674023,6.239966,442
441.04,445.4,431.17,442,1.77,471.6920392,6.240278,429.18
442,442,429.18,429.18,5.66,468.5429992,6.240046,431.87
429.18,439.69,422.19,431.87,5.75,465.8264808,6.228726,441.89
431.87,452.74,431.61,441.89,20.36,464.0534081,6.212273,448.26
441.89,452,441.81,448.26,5.79,462.883526,6.219261,450.63
448.26,459.22,441.81,450.63,4.04,461.9758574,6.21355,454.99
450.63,458,446.1,454.99,5.53,461.4583865,6.212932,441.5
454.99,454.99,432.88,441.5,11.53,459.9799875,6.213645,440.82
441.5,445.22,432.21,440.82,7.19,458.5607292,6.213946,440.78
440.82,444.76,436.45,440.78,4.51,457.2436381,6.221726,445.52
440.78,445.52,440.78,445.52,0.8711,456.3752205,6.216065,449.59
445.52,449.59,440.89,449.59,3.02,455.8726116,6.216698,453.83
449.59,453.83,447.1,453.83,5.59,455.721307,6.217964,453.83
453.83,453.83,446.2,453.83,0.2061,455.5812102,6.221279,445.56
453.83,453.83,445.56,445.56,2.58,454.8388983,6.221159,445.56
445.56,445.56,445.56,445.56,0,454.1515725,6.22023,493.43
445.56,498.84,445.56,493.43,25.28,457.0610857,6.22341,494.77
493.43,497.67,490.85,494.77,4.24,459.8543386,6.223823,530
494.77,530,494.77,530,32.85,465.0503135,6.220633,521.47
530,548.05,515.31,521.47,14.82,469.2295495,6.221798,530
521.47,530,515.21,530,2.62,473.7310644,6.22142,574.05
530,589,530,574.05,15.83,481.1620967,6.221981,583.2
574.05,589.11,563.68,583.2,10.95,488.7204599,6.222864,570.92
583.2,594.64,538.84,570.92,26.92,494.8093147,6.225774,575.83
570.92,589.16,565.22,575.83,4.52,500.8108469,6.233545,570.49
575.83,576.26,564.9,570.49,2.18,505.9722657,6.234399,616.08
570.49,628.61,566.15,616.08,18.38,514.1283941,6.225683,628.13
616.08,628.13,603.87,628.13,15.4,522.5729575,6.232125,627.54
628.13,673.37,621.79,627.54,37.05,530.348294,6.231875,665.58
627.54,672.64,621.79,665.58,10.32,540.3654574,6.232022,671.43
665.58,677.91,652.26,671.43,16.68,550.0739421,6.232402,650.48
671.43,671.43,525,650.48,59.16,557.5114278,6.238001,657.01
650.48,669.75,650.45,657.01,15.16,564.8816924,6.234932,653.4
657.01,660,653.4,653.4,5.27,571.4386041,6.239413,659.8
653.4,659.8,636.68,659.8,4.75,577.9838927,6.235367,646.54
659.8,659.8,646,646.54,0.888,583.0621229,6.233668,643.44
646.54,656.44,636.5,643.44,4.65,587.5345582,6.232608,646.89
643.44,657.72,643.44,646.89,7.13,591.9312576,6.224108,617.99
646.89,649.93,617.99,617.99,19.6,593.8615348,6.212848,565.56
617.99,637.06,552,565.56,75.97,591.7651248,6.211429,589.68
565.56,617.31,565.56,589.68,19.43,591.6106711,6.204995,575.6
589.68,600,542.96,575.6,15.89,590.4246955,6.201048,589.55
575.6,589.55,534.28,589.55,34.51,590.3599032,6.201038,597.14
589.55,612.91,574.18,597.14,10.67,590.8621326,6.199568,608.97
597.14,608.98,586.25,608.97,2.8,592.2034561,6.210708,605.89
608.97,625,603.41,605.89,10,593.2172742,6.210966,595.93
605.89,627.05,594.12,595.93,8.41,593.4182169,6.217223,593.9
595.93,602.79,578.51,593.9,5.81,593.4539045,6.216059,590.59
593.9,598.5,581.09,590.59,0.7642,593.2417634,6.212698,596.24
590.59,602.33,584.75,596.24,8.34,593.463855,6.21299,584.42
596.24,596.24,584.42,584.42,2.64,592.7939398,6.2125,586.15
584.42,595.23,576.13,586.15,2.85,592.3017961,6.21318,564.42
586.15,586.15,557.43,564.42,29.23,590.2364779,6.217799,583.26
564.42,583.26,564.42,583.26,2.76,589.7197018,6.220052,597.69
583.26,600,575.35,597.69,21.78,590.3100942,6.213757,596.12
597.69,604.38,590.76,596.12,4.14,590.7404576,6.207016,589.76
596.12,602.3,589.76,589.76,0.9983,590.6678311,6.206219,637.07
589.76,645,587.72,637.07,18.67,594.1050288,6.205803,650
637.07,657.83,634.16,650,12.04,598.2453971,6.19543,645.77
650,658.87,638,645.77,25.77,601.765738,6.191039,647.55
645.77,655.08,638.89,647.55,6.04,605.1571648,6.199959,635.25
647.55,655,622.6,635.25,10.3,607.3862637,6.201261,628.99
635.25,635.25,618,628.99,3.74,608.9865405,6.198297,629.1
628.99,652.78,628.99,629.1,2.25,610.4764264,6.200043,625.99
629.1,638.97,614.74,625.99,6.47,611.62558,6.20586,617.04
625.99,626.87,614.74,617.04,1.44,612.0266481,6.198928,627.9
617.04,627.9,615.35,627.9,1.63,613.202452,6.19803,614.47
627.9,632.11,614.47,614.47,0.6427,613.2963444,6.193982,629.46
614.47,629.46,614.47,629.46,1.5,614.4936522,6.194739,632
