open,high,low,close,volume,nextlow
325,348.2,325,328.2,9.73,328.2
328.2,349.17,328.2,348,0.04009,333
348,348,333,347.08,6.6,330.16
347.08,350,330.16,350,4.81,338.66
350,350,338.66,350,19.36,350
350,370,350,355,3.57,355
355,372.63,355,371.7,5.42,371.7
371.7,430.36,371.7,423.48,219.46,380
423.48,450,380,415,65.88,395
415,417.77,395,395,23.16,378.97
395,395,378.97,379.99,10.68,379.56
379.99,395,379.56,380,1.56,376
380,414.26,376,400,25.27,370.39
400,400,370.39,375.02,13.23,375.02
375.02,392.96,375.02,390,0.9256,354.33
390,390,354.33,354.38,67.07,342.66
354.38,360,342.66,360,1.64,360
360,370,360,370,4.05,360
370,370,360,370,4.76,370
370,385,370,372,11.24,372
372,390,372,376,10.13,366.42
376,389.94,366.42,372.87,19.24,365.01
372.87,385.69,365.01,376.9,2.38,360.52
376.9,387,360.52,387,23.27,379.09
387,387,379.09,379.09,4.2,379.09
379.09,386.32,379.09,386.32,0.001595,370.13
386.32,386.74,370.13,374.03,4.18,372.91
374.03,386.15,372.91,386.15,3.81,371.46
386.15,386.15,371.46,380,23.49,364.72
380,380,364.72,379.75,3.76,375.19
379.75,380,375.19,375.19,4.68,367
375.19,394.59,367,374,34.17,370.43
374,389.98,370.43,373.07,0.3818,360.29
373.07,376.06,360.29,362.58,4.53,342.46
362.58,376,342.46,345.49,6.64,345.49
345.49,357.5,345.49,345.56,0.1607,342.5
345.56,372.12,342.5,372.12,0.7364,346.77
372.12,372.12,346.77,360,0.9118,350
360,360,350,352,33.15,350
352,358.98,350,350,0.6043,342.04
350,358.98,342.04,343.07,22.78,330.09
342.04,358.92,330.09,330.09,4.45,315.02
330.09,355.33,315.02,329.99,30.11,310
329.99,332.17,310,320,5.86,310.03
320,368.12,310.03,349.98,23.07,348.99
349.98,349.98,348.99,348.99,1.87,319.67
348.99,348.99,319.67,325.01,39.87,325.01
325.01,327.06,325.01,327.06,1.08,327.06
327.06,342.08,327.06,338.75,0.5716,320.38
338.75,338.75,320.38,320.38,4.11,320.38
320.38,320.38,320.38,320.38,0,320.38
320.38,320.48,320.38,320.48,0.01,313.37
320.48,320.48,313.37,313.37,3.74,313.01
313.37,320.04,313.01,313.01,1.9,313.01
313.01,325,313.01,314.76,29.97,313
314.76,338.95,313,313,4.55,313
313,319.14,313,319.14,9.61,314.03
319.14,325,314.03,325,0.435,313.18
325,325,313.18,315.3,8.92,295
315.3,319.93,295,295,52.48,265.87
295,297.48,265.87,265.87,25.49,252.32
265.87,280,252.32,277.4,61.92,260
277.4,293.66,260,281.15,8.48,269
281.15,300,269,300,7.71,283.53
300,300,283.53,283.53,8.34,283
283.53,295.72,283,283.5,3.5,274.73
283.5,300,274.73,277.78,53.89,265
277.78,277.78,265,265,1.77,263.02
265,300,263.02,265.06,59.03,215.09
265.06,268,215.09,216,200.71,175
216,230.99,175,175,204.92,175
175,236.47,175,219,133.32,195.2
219,219,195.2,213.36,44.71,196
213.36,213.36,196,200,9.22,199.5
200,220,199.5,219.98,31.12,206
219.98,219.98,206,211.01,7.54,208.4
211.01,219.84,208.4,219.82,5.22,206.1
219.82,225.91,206.1,224.49,47.35,224.49
224.49,241.02,224.49,227.02,26.41,222.68
227.02,231.24,222.68,228.04,10.24,228.02
228.04,251.36,228.02,250.87,108.7,241.28
250.87,257.06,241.28,257.06,46.71,250.04
257.06,307.05,250.04,270,86.66,205
270,270,205,250.85,59.44,248
250.85,280,248,248,66.57,222.28
248,248,222.28,231.83,36.22,220
231.83,239.36,220,220,55.19,216.69
220,239.98,216.69,216.69,13.39,210.01
216.69,239.98,210.01,239.98,5.1,223.94
239.98,239.98,223.94,228,5.23,228
228,246.93,228,235.45,18.47,221.85
235.45,235.45,221.85,228.9,15.17,215.25
228.9,228.9,215.25,217,17.34,215
217,225,215,221.92,12.4,218.44
221.92,231.58,218.44,229.66,1.81,218.81
229.66,229.66,218.81,229.23,14.25,215
229.23,229.23,215,220.5,16.66,215
220.5,221.92,215,215.01,3.39,205
215.01,215.01,205,207.2,5.63,207.2
207.2,224,207.2,224,2.52,207
224,240,207,232.8,58.79,228
232.8,250,228,250,44.01,228
250,264.8,228,233.94,48.46,227.67
233.94,250.66,227.67,250.66,27.26,230.3
250.66,250.66,230.3,249.98,7.42,230.3
249.98,249.98,230.3,236,14.94,236
236,244.06,236,240.1,6.17,240.1
240.1,248.5,240.1,241.03,40.23,240.09
241.03,244.09,240.09,240.12,0.2377,235
240.12,247.44,235,235,21.4,234.08
235,239.9,234.08,236.12,28.05,236.12
236.12,238,236.12,238,0.88,237.02
238,240.18,237.02,237.02,6.48,235
237.02,239.64,235,239.64,22.71,238
239.64,259.42,238,256,122.77,244
256,256,244,250.13,43.61,240.01
250.13,261.5,240.01,250.36,24.21,249.89
250.36,280,249.89,271.37,53.78,264.69
271.37,280.09,264.69,277,24.73,267.32
277,285.73,267.32,269.4,36.32,265.17
269.4,278.61,265.17,274.49,16.6,260
274.49,275.46,260,260,10.93,260
260,270,260,269.93,0.1874,269.93
269.93,280,269.93,270.08,3.76,270.08
270.08,297.51,270.08,297,18.78,287.21
297,300,287.21,295,26.6,289
295,299.94,289,295.68,37.08,289.37
295.68,296.94,289.37,290.28,10.73,272
290.28,293,272,285,77.95,272.64
285,288.63,272.64,282.33,54.76,281.51
282.33,288,281.51,288,0.1454,288
288,294.44,288,294.44,32.99,284
294.44,294.96,284,284,17.76,250
284,288.2,250,257.48,37.81,253.45
257.48,280.87,253.45,255,6.26,255
255,271,255,261.65,1.21,259.68
261.65,272.49,259.68,259.68,0.1201,258.06
259.68,271.34,258.06,271.34,18.18,263
271.34,272,263,266.58,9.08,245
266.58,266.58,245,255.33,28.13,237.69
255.33,255.33,237.69,250.98,10.57,250.05
250.98,269,250.05,251.9,14.12,242.88
251.9,252,242.88,252,0.6849,247.81
252,255.7,247.81,252.5,2.12,240.44
252.5,252.5,240.44,243.59,4.38,240.19
243.59,269,240.19,269,4.65,244.42
269,269,244.42,244.42,1.03,241.06
244.42,249.24,241.06,242.98,17.81,240
242.98,255.93,240,251.2,16.16,249.37
251.2,256,249.37,252.9,6.6,249.52
252.9,255,249.52,249.56,9.16,249.56
249.56,259.99,249.56,259.99,1.45,253.01
259.99,262.42,253.01,254.38,8.99,246.51
254.42,256.88,246.51,248.84,25.79,244.39
248.84,258.24,244.39,249.46,13.77,239.96
249.46,249.46,239.96,249.27,7.55,232.85
249.27,249.27,232.85,242.5,37.67,230.76
242.5,242.5,230.76,232.58,23.62,232.58
232.58,240,232.58,240,18.94,223.54
240,254.38,223.54,227.94,21.32,216.5
227.94,231.85,216.5,221.98,41.27,219.66
221.98,224,219.66,220.11,12.48,220.11
220.11,234.7,220.11,233.6,9.11,223.01
233.6,233.6,223.01,223.01,2.31,222
223.01,227.49,222,222.02,4.91,222.02
222.02,229,222.02,226.79,10.28,223.26
226.79,228,223.26,223.6,39.33,223.6
223.6,235.23,223.6,234.74,93.12,232.09
234.74,238.89,232.09,233.27,41.04,231
233.27,235.69,231,234.99,23.61,227.96
234.99,237.58,227.96,230.96,42.22,226.03
230.96,232.14,226.03,227.49,5.8,216.34
227.49,227.49,216.34,220.15,35.01,217.34
220.15,238.56,217.34,228.26,28.26,224
228.26,233.25,224,224.84,42.78,224
224.84,232,224,226,24.59,225.69
226,239.65,225.69,237.31,49.81,231.7
237.31,238.97,231.7,232.1,30.42,231.21
232.1,239.09,231.21,234.15,31.21,234.15
234.15,242.5,234.15,240.36,24.95,236.19
240.36,242.11,236.19,236.19,12.16,231.42
236.19,239.11,231.42,235.59,14.64,228
234.88,239.35,228,228,50.49,227
228,242.44,227,235.71,25.63,234.8
235.71,243,234.8,240.51,14.68,234.13
240.51,243,234.13,241.74,14.44,236.13
241.74,242.62,236.13,239.24,8.45,238.8
239.24,243.15,238.8,241.86,35.81,237.55
241.86,242.99,237.55,242.99,32.16,235.08
242.99,244,235.08,235.09,63.85,235
235.09,237.99,235,236.47,7.28,237.49
238.51,240.05,237.49,238.98,1.22,235.14
238.98,239.39,235.14,237.35,3.67,235.6
237.35,237.57,235.6,235.86,1.39,231.91
235.86,236.62,231.91,233.34,13.18,231.43
233.34,233.91,231.43,232.78,24.91,231.1
232.78,235.06,231.1,234.8,23.32,233.97
234.55,238.18,233.97,236.09,11.64,233.91
236.09,244,233.91,237.59,63.87,237.39
237.59,240.84,237.39,237.39,28.22,237.39
237.39,241.13,237.39,240.68,10.83,234.83
240.68,240.68,234.83,235.92,31.94,235.17
236.19,237.11,235.17,236.03,6.32,234.77
