close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
4311.31,2.88,38.11,64.38739937,64.86,42.27026921,1.015711654,9589,1.7786,4276.163333
4268.23,3.09,37.05,57.62764843,61.77,45.16524998,1.016025099,9591,1.7735,4281.743333
4280.25,2.91,36.76,58.92344632,64.68,44.14058927,1.012623939,9592,1.763,4292.123333
4280.01,3.16,36.09,58.88472512,61.52,43.49911861,1.023886645,9592,1.7632,4303.293333
4284.97,4.46,35.54,59.47739538,65.98,42.11418157,1.014189282,9582.5,1.7688,4317.996667
4311.39,5.73,36.82,62.57224492,71.71,41.31245431,1.011455557,9577.5,1.758,4326.71
4313.52,4.12,37.58,62.81879048,75.83,40.04442186,1.018230574,9590,1.736,4341.193333
4329.08,3.32,38.98,64.65067941,79.15,39.02839173,1.016970335,9585,1.7447,4341.916667
4337.53,4.46,40.31,65.64071663,83.61,38.79493517,1.020232811,9574,1.7515,4343.2
4356.97,4.52,42.44,67.87019267,88.13,37.79601123,1.020018916,9588,1.7433,4334.26
4331.25,3.71,41.57,62.12645409,84.42,37.90272472,1.004625044,9592.5,1.7228,4335.636667
4341.38,3.49,41.23,63.4388317,87.91,38.05753009,1.017138252,9605,1.7251,4334.893333
4330.15,3.51,39.6,60.91867087,84.4,38.31556366,1.011658198,9607.5,1.7083,4335.3
4335.38,3.16,38.28,61.68212184,87.56,37.81159483,1.012936886,9610,1.7005,4345.04
4339.15,4.48,37.12,62.25452375,92.04,36.77862377,1.012644196,9605,1.712,4348.753333
4331.37,3.52,35.16,60.25415725,88.52,36.03300778,1.004634236,9605,1.7077,4350.083333
4364.6,4.56,35.88,65.37214945,93.08,36.16779294,1.011841837,9615,1.7105,4341.513333
4350.29,4.11,34.89,61.68827747,88.97,36.4572363,1.004899424,9605,1.7175,4325.73
4335.36,3.74,32.53,58.01497468,85.23,36.38743371,0.999499715,9620,1.7141,4318.7
4338.89,2.96,30.58,58.64203999,88.19,35.41618845,0.995850327,9615,1.6741,4322.543333
4302.94,2.53,25.85,50.38819955,85.66,36.08003213,0.993463781,9620,1.6822,4330.853333
4314.27,3.07,22.75,52.65014114,88.73,35.19217269,0.993755442,9620,1.7141,4337.31
4350.42,3.78,22.94,59.06330391,92.51,35.05344607,1.004681131,9605,1.7132,4326.7
4327.87,2.77,21.03,54.13752516,89.74,36.79391421,0.998267741,9630,1.7254,4328.103333
4333.64,2.74,19.76,55.16781872,92.48,36.33649176,0.998730166,9620,1.7303,4333.983333
4318.59,2.65,17.33,51.89321008,89.83,35.7045995,0.997049432,9620,1.7303,4332.266667
4332.08,3.7,16.31,54.50022191,93.53,34.79141382,0.992549145,9625,1.7242,4325.696667
4351.28,3.84,16.86,57.98974373,97.37,34.93131283,1.000227571,9625,1.7295,4314.363333
4313.44,3.26,14.08,49.87179633,94.11,35.86979048,0.994943903,9630,1.734,4326.153333
4312.37,3.87,11.65,49.66009678,90.24,37.24194831,0.993887838,9633,1.7232,4347.086667
4317.28,3.32,10.01,50.69438996,93.56,36.37538057,1.003332605,9635.5,1.7279,4353.83
4348.81,3.18,11.12,56.82854975,96.74,36.23642482,1.008005989,9612.5,1.7513,4339.166667
4375.17,4.13,13.97,61.17717516,100.87,35.58668019,1.005689106,9600,1.7495,4320.473333
4337.51,4.46,13.04,52.96817991,96.41,36.52406017,1.002227424,9600,1.7422,4300.016667
4304.82,3.87,9.56,47.06461451,92.54,37.84948445,0.993349701,9600,1.7165,4299.223333
4319.09,3.68,7.85,49.70009744,96.22,38.0330927,1.000115779,9600,1.7272,4282.743333
4276.14,4.93,3.01,42.79416174,91.29,40.08144322,0.987087034,9593.5,1.7109,4286.31
4302.44,4.29,1.27,47.59599458,95.58,40.13205442,0.988775717,9595,1.7196,4283.03
4269.65,3.46,-2.72,42.77509567,92.12,40.02690768,0.98984801,9600,1.6944,4290.08
4286.84,4.26,-4.44,45.87045544,96.38,39.61641427,0.994079822,9600,1.6924,4295.336667
4292.6,4.44,-5.28,46.90678146,100.82,38.47024182,0.994283438,9610,1.7003,4303.776667
4290.8,3.91,-6.02,46.6064899,96.91,37.68165312,0.986660719,9620,1.704,4319.353333
4302.61,4.31,-5.6,48.91719391,101.22,37.71510647,0.983415502,9630,1.713,4325.213333
4317.92,4.98,-3.97,51.82766645,106.2,37.53974172,0.995483584,9635,1.7082,4322.193333
4337.53,4.79,-1.09,55.33774244,110.99,36.91261731,1.007598459,9630,1.7166,4314.97
4320.19,4.72,-0.21,51.74718603,106.27,36.97671608,1.000254683,9635,1.6956,4308.72
4308.86,2.85,-0.42,49.4877327,103.42,37.0590935,1.007651761,9637.5,1.6958,4297.72
4315.86,3.32,-0.01,50.91376439,106.74,36.67487254,1.00311916,9640,1.697,4277.373333
