close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
"4,317.92",4.98,-3.97,51.82766645,106.2,37.53974172,0.995483584,"9,635.00","1.708,20",4322.193333
"4,337.53",4.79,-1.09,55.33774244,110.99,36.91261731,1.007598459,"9,630.00","1.716,60",4314.97
"4,320.19",4.72,-0.21,51.74718603,106.27,36.97671608,1.000254683,"9,635.00","1.695,60",4308.72
"4,308.86",2.85,-0.42,49.4877327,103.42,37.0590935,1.007651761,"9,637.50","1.695,80",4297.72
"4,315.86",3.32,-0.01,50.91376439,106.74,36.67487254,1.00311916,"9,640.00","1.697,00",4277.373333
"4,301.44",3.4,-0.85,47.91296304,103.34,37.99595307,1.007445575,"9,643.50","1.669,50",4260.296667
"4,275.86",4.02,-3.54,43.06412548,99.32,39.27838499,0.997438673,"9,650.00","1.666,50",4260.04
"4,254.82",3.14,-7.28,39.52133035,96.18,39.74350035,0.991198807,"9,652.50","1.644,90",4269.053333
"4,250.21",2.57,-10.5,38.76875136,93.61,39.8746789,0.990540226,"9,657.50","1.659,10",4291.213333
"4,275.09",1.84,-10.91,44.87030283,95.45,39.1536304,0.993603882,"9,657.50","1.659,80",4315.01
"4,281.86",2.51,-10.57,46.43444333,97.96,38.1776568,0.991648757,"9,662.50","1.662,60",4354.143333
"4,316.69",3,-7.41,53.71087733,100.96,37.98853846,0.995195422,"9,637.50","1.654,90",4385.253333
"4,346.48",3.28,-2.47,58.85858533,104.24,38.7215,1.006085381,"9,650.00","1.687,90",4400.553333
"4,399.26",4.33,5.64,66.06017154,108.57,39.16425,1.020980027,"9,655.00","1.673,70",4399.98
"4,410.02",3.64,12.79,67.31622667,112.21,38.42108928,1.021817204,"9,660.00","1.648,10",4384.283333
"4,392.38",4.02,16.83,63.18763304,108.19,38.54529719,1.021141757,"9,667.50","1.645,50",4359.28
"4,397.54",4.84,20.22,63.88538516,113.03,38.09849025,1.028457433,"9,670.00","1.661,50",4328.736667
"4,362.93",4.46,19.89,56.19198412,108.57,39.80431238,1.02540883,"9,660.00","1.654,80",4335.26
"4,317.37",3.33,15.76,47.9978118,105.24,42.57043292,1.015801572,"9,660.00","1.677,30",4363.076667
"4,305.91",3.19,11.44,46.1738635,102.05,42.40611628,1.007209205,"9,635.00","1.660,00",4398.093333
"4,382.50",4.48,14.03,57.73382043,106.53,44.84782226,1.023503804,"9,635.00","1.668,90",4403.386667
"4,400.82",2.94,17.36,59.94951006,109.47,43.60654924,1.01948947,"9,650.00","1.683,40",4424.94
"4,410.96",4.72,20.58,61.16306122,114.19,42.15608144,1.014834993,"9,655.00","1.682,70",4426.803333
"4,398.38",2.4,21.87,58.78330944,111.79,41.38207562,0.999799966,"9,649.50","1.690,40",4433.586667
"4,465.48",3.29,27.98,66.31235124,115.08,43.21907022,1.012575907,"9,630.00","1.686,60",4424.293333
"4,416.55",3.27,28.55,57.99316611,111.81,43.12127949,1.005502712,"9,620.00","1.692,80",4424.423333
"4,418.73",3.07,28.84,58.24450861,114.88,43.73475953,1.004818603,"9,625.00","1.686,30",4431.19
"4,437.60",4.05,30.24,60.4504194,118.93,42.58513385,1.017114645,"9,652.50","1.656,40",4436.316667
"4,416.94",3.2,29.35,56.90576643,115.73,43.78333857,1.023062652,"9,677.50","1.652,40",4448.57
"4,439.03",3.48,30.08,59.63140414,119.21,41.78452867,1.030915648,"9,677.50","1.660,70",4462.77
"4,452.98",3.91,31.42,61.29621751,123.12,40.46277663,1.016082145,"9,687.50","1.679,90",4475.296667
"4,453.70",4.99,32.17,61.38473395,128.11,39.46543544,1.012015942,"9,697.50","1.660,60",4483.876667
"4,481.63",4.42,34.62,64.75235866,132.53,41.34361862,1.016021456,"9,712.50","1.669,40",4489.66
"4,490.56",4.41,36.86,65.77992718,136.94,41.89264586,1.020957716,"9,670.50","1.675,30",4493.856667
"4,479.44",5.95,37.3,63.30503109,130.99,41.31745687,1.003126204,"9,675.50","1.672,40",4497.8
"4,498.98",5.12,38.78,65.74399173,136.11,40.15620995,1.018663889,"9,710.00","1.677,70",4499.223333
"4,503.15",4.21,39.84,66.25939517,140.32,38.78148067,1.019105037,"9,692.50","1.670,40",4514.253333
"4,491.27",3.56,39.26,63.33575078,136.76,38.89851777,1.012094375,"9,667.00","1.666,00",4541.02
"4,503.25",2.78,39.32,65.01230452,139.54,37.75219507,1.019540677,"9,620.00","1.648,20",4569.493333
"4,548.24",3.53,42.5,70.4728929,143.07,38.26846685,1.024602222,"9,645.50","1.648,70",4590.01
"4,571.57",5.15,46.37,72.84009721,148.22,38.30214779,1.026631604,"9,646.50","1.644,20",4600.173333
"4,588.67",8.38,50.24,74.45654099,156.6,37.43128009,1.03030514,"9,659.50","1.634,70",4615.433333
"4,609.79",6.72,54.38,76.33027562,163.32,36.74047437,1.028596738,"9,669.50","1.608,80",4622.97
"4,602.06",12.26,56.39,74.18532815,151.06,36.77186906,1.024829865,"9,702.50","1.603,60",4639.323333
"4,634.45",8.07,59.91,77.09037979,159.13,36.45887841,1.034604772,"9,683.00","1.577,60",4659.876667
"4,632.40",6.89,61.82,76.50357108,152.24,36.60895852,1.029655611,"9,702.50","1.578,20",4670.086667
"4,651.12",6.91,64.1,78.13995108,159.15,35.76546149,1.032859221,"9,709.00","1.572,40",4691.853333
"4,696.11",5.95,68.75,81.47847099,165.1,36.05721424,1.04560848,"9,705.00","1.586,20",4725.08
"4,663.03",5.65,68.97,72.68822379,159.45,37.01884179,1.035481041,"9,707.00","1.615,20",4774.606667
"4,716.42",6.1,72.62,77.00091095,165.55,37.78749595,1.036976941,"9,685.50","1.595,20",4789.62
"4,795.79",6.69,80.97,81.64186879,172.24,40.75767481,1.049046608,"9,663.50","1.577,70",4774.923333
"4,811.61",6.08,87.86,82.40402687,178.32,40.69855518,1.048584884,"9,677.50","1.571,90",4779.28
"4,761.46",5.6,88.26,72.17462442,172.72,43.5929441,1.032901716,"9,706.00","1.572,10",4808.226667
"4,751.70",5.83,86.78,70.3444387,166.89,42.48416238,1.032515873,"9,692.50","1.574,60",4849.16
"4,824.68",7.25,90.46,75.37316458,174.14,45.40457935,1.041046942,"9,687.50","1.574,60",4859.036667
