"rsi","sma_plus_3"
"57.82033399","5083.5"
"60.10768453","5104.746667"
"60.77370921","5146.446667"
"59.27049175","5183.14"
"64.86861883","5203.913333"
"69.53311514","5172.72"
"65.96446705","5161.496667"
"67.29105379","5150.906667"
"56.59800128","5177.336667"
"59.30713499","5168.856667"
"60.95410157","5132.99"
"62.82870892","5056.543333"
"54.62586567","5020.53"
"48.73957204","4998.06"
"41.13032368","4962.716667"
"45.83532545","4881.303333"
"44.28885364","4750.88"
"35.65428999","4695.066667"
"31.389208","4638.496667"
"25.20757935","4688.76"
"32.70356943","4714.3"
"29.44292934","4791.896667"
"40.31629083","4807.203333"
"41.19355994","4759.033333"
"45.34046431","4650.673333"
"43.64235597","4524.94"
"36.04180229","4454.566667"
"32.13198168","4478.686667"
"29.54495086","4560.783333"
"29.23251049","4694.126667"
"40.10841051","4757.366667"
"44.86502406","4775.016667"
"51.5977679","4694.433333"
"49.70506094","4636.22"
"47.4982514","4537.863333"
"41.35179736","4480.08"
"42.70374128","4438.69"
"36.69732498","4495.553333"
"35.74271503","4571.99"
"39.96240048","4624.353333"
"46.33111345","4637.626667"
"47.70546059","4652.923333"
"47.83592253","4681.16"
"48.2766786","4707.95"
"50.18369051","4707.943333"
"52.42291599","4723.516667"
"52.64253512","4721.413333"
"49.80907111","4719.793333"
"54.88498297","4683.696667"
"51.74927751","4637.82"
"49.04418799","4615.943333"
"48.10518168","4599.78"
"43.49468171","4614.403333"
"45.50493192","4625.166667"
"45.64539929","4620.966667"
"46.73746405","4630.32"
"48.06091383","4649.97"
"44.9171552","4679.086667"
"49.44115176","4651.17"
"53.04030751","4522.433333"
"51.81495891","4352.383333"
"43.23356452","4235.65"
"31.08855036","4188.28"
"26.70203477","4186.563333"
"30.03769975","4153.97"
"28.52491472","4086.113333"
"28.4730444","4038.33"
"26.83780616","4032.636667"
"22.50969703","4108.386667"
"27.35088088","4154.23"
"33.2558652","4144.186667"
"39.53614907","4096.11"
"38.22059645","4065.556667"
"34.60752515","4104.823333"
"33.74997949","4207.25"
"35.38944705","4299.606667"
"43.69269819","4354.72"
"52.85052053","4360.52"
"52.37120999","4418.126667"
"52.75118173","4471.8"
"53.79826273","4501.036667"
"61.00632203","4550.533333"
"60.68522259","4572.603333"
"56.8902833","4605.806667"
"65.70412686","4535.7"
"60.15657359","4476.68"
"58.86497043","4424.356667"
"52.89022212","4412.126667"
"50.02716466","4381.93"
"49.97936508","4361.933333"
"51.00091463","4349.893333"
"45.02787911","4384.046667"
"46.87946157","4398.53"
"49.45208231","4394.316667"
"51.34114146","4398.94"
"49.46268007","4421.636667"
"48.52335974","4458.876667"
"52.41535356","4488.01"
"54.03655202","4499.616667"
"55.93292322","4510.366667"
"58.05113149","4519.253333"
"55.65395544","4547.893333"
"57.47791963","4545.83"
"59.34422773","4545.806667"
"61.42919244","4551.363333"
"55.12631406","4574.066667"
"57.54635618","4588.746667"
"60.80641123","4578.053333"
"59.38441423","4576.063333"
"60.080267","4549.426667"
"57.06298494","4506.033333"
"58.05232345","4455.503333"
"51.29875147","4435.213333"
"44.52341041","4453.053333"
"43.78130863","4470.863333"
"46.51388185","4468.183333"
"50.10078729","4433.026667"
"49.18321223","4374.75"
"45.81505473","4349.966667"
"40.59085929","4334.903333"
"35.04274342","4365.47"
"42.12615396","4375.793333"
"39.84513479","4380.906667"
"45.62085717","4358.446667"
"46.07638802","4331.653333"
"42.25996777","4326.323333"
"40.39725595","4296.006667"
"39.76373579","4273.85"
"41.77107233","4247.73"
"34.46088064","4276.636667"
"36.41483541","4289.06"
"37.03144321","4284.013333"
"44.68064684","4248.983333"
"41.90216946","4212.993333"
"38.24323349","4204.006667"
"36.47888417","4223.603333"
"33.98197528","4253.92"
"38.21466617","4253.213333"
"45.14007147","4219.596667"
"44.79277141","4171.003333"
"39.80984479","4161.046667"
"37.02352149","4168.196667"
"33.70317507","4203.536667"
"40.35063786","4207.94"
"41.90041733","4205.716667"
"45.78784694","4196"
"42.65246758","4201.806667"
"42.14472359","4229.996667"
"43.74702888","4271.476667"
"45.00634327","4286.37"
"51.98589597","4262.58"
"57.0753138","4212.093333"
"49.64483288","4193.07"
"44.70600226","4192.54"
"42.46641741","4218.926667"
"45.18071388","4282.32"
"45.2514323","4362.443333"
"51.05302981","4414.95"
"62.00725162","4422.103333"
"65.15045446","4425.74"
"61.98801349","4447.406667"
"61.95907506","4475.343333"
"64.70725774","4470.29"
"66.33270208","4418.72"
"67.52821746","4367.256667"
"60.23866126","4361.063333"
"49.09908254","4382.223333"
"50.71576618","4385.76"
"56.75960131","4374.276667"
"53.76681146","4387.093333"
"50.75193362","4425.23"
"53.40430903","4447.376667"
"56.57887868","4462.536667"
"59.65344825","4472.41"
"57.97609506","4486.046667"
"59.47458661","4498.663333"
"61.46151172","4518.63"
"60.8911721","4552.293333"
"62.22664018","4582.353333"
"65.91159732","4612.34"
"68.42356999","4622.646667"
"68.80180433","4615.67"
"71.9188924","4577.86"
"68.44921377","4559.65"
"61.86169079","4573.96"
"56.24745647","4591.123333"
"59.46681932","4601.903333"
"63.55549728","4614.886667"
"59.05087533","4649.436667"
"60.48078506","4677.64"
"64.95068903","4683.666667"
"66.94606499","4689.116667"
"66.66541425","4688.613333"
"65.3710433","4704.92"
"67.49203416","4763.063333"
"64.36908966","4827"
"67.75523296","4853.48"
"76.52195236","4834.42"
"76.16361526","4775.346667"
"66.50217561","4740.213333"
"67.4992331","4706.533333"
"54.09809651","4707.906667"
"54.19723453","4717.25"
"55.87013998","4733.203333"
"54.04721032","4790.15"
"56.27680613","4837.473333"
"59.63467316","4878.486667"
"66.86555728","4873.156667"
"66.41442545","4890.1"
"67.74437875","4900.126667"
"63.46481585","4869.39"
"67.62798106","4834.57"
"67.65062938","4815.73"
"51.02620556","4850.556667"
"54.92294206","4869.366667"
"58.31568395","4880.09"
"58.6852273","4887.45"
"58.8914046","4895.85"
"60.70457488","4894.55"
"60.13896231","4894.146667"
"60.63027664","4893.956667"
"59.95011157","4869.16"
"59.65527717","4845.36"
"60.32126177","4826.196667"
"49.69787452","4832.863333"
"49.80890058","4840.47"
"52.33004661","4838.576667"
"52.13852769","4846.346667"
"52.64076244","4852.476667"
"51.39378124","4873.7"
"55.31215093","4890.676667"
"55.10760881","4910.843333"
"60.12103916","4942.01"
"61.94674689","4981.533333"
"62.97732993","5012.736667"
"70.2439914","4980.843333"
"73.43556877","4940.416667"
"70.07655837","4925.376667"
"51.75967689","4951.076667"
"53.3407589","4945.616667"
"59.31269309","4926.353333"
"59.60978574","4916.053333"
"49.85251178","4928.936667"
"51.80392936","4936.76"
"54.92807565","4935.1"
"53.73060751","4919.273333"
"54.06760247","4922.783333"
"54.2613301","4934.373333"
"47.345302","4950.816667"
"54.63681766","4944.34"
"57.33379257","4915.51"
"52.45809932","4907.213333"
"51.48468907","4894.28"
