Open,High,Low,Close
305.67,319.6,301.7,314.82
314.95,334.05,313.5,328.65
328.28,334.67,302.99,310.18
310.9,329.85,303.01,325.78
325.78,369.02,320,361.26
361.73,420.77,360.4,404.06
404.55,502,368.11,408
407.99,448.79,364.37,385.5
387.77,396.67,353.26,374.47
374.41,392.82,371.07,383.53
383.62,390.47,366.18,372.65
372.86,386.79,360.54,377.9
378.02,381.44,323.63,336.8
335.02,341.41,294,309.91
309.95,344.78,308.42,337.17
337,342,325,336.99
336.98,356.1,325.45,333
332.95,334.99,314.6,319.28
319.29,332.25,315,330.83
330.82,350.44,329,336.08
336,337.89,330.28,335.65
335.68,336.48,324.92,326.02
326.51,327.73,310,322.04
322.04,328.94,318.52,326.5
326.5,326.6,320.13,324.2
324.2,326.09,320.39,323.48
323.48,323.5,317,319.7
319.7,330.84,316,328.9
328.9,369.7,328.53,353.21
353.9,364.8,347.84,357.14
357.42,359.44,350.41,356.95
356.78,373.15,354.45,371.48
371.2,383,367.11,376.71
376.7,379,354.56,363.06
362.7,362.84,348.64,358.89
359.11,370.53,356.21,361.42
361.48,364.3,355.92,363.62
363.62,389.89,363,388
388,399.85,383,388.24
388.54,399.91,381.01,395.57
395.57,418.87,388.33,417.89
416.67,424.95,400,416.98
416.69,419.79,408.91,415.57
415.57,454.48,415.13,453.04
453.12,467.8,403,436.19
436.08,442.97,422.03,433.07
433.13,448.12,428.42,443.36
443.3,464.99,442.94,464.53
464.53,465,436.89,455.87
455.61,458.84,448.75,456.17
455.37,466.64,453.5,462.46
463.7,465.9,452.03,461.8
461.89,462,433.83,442.54
442.47,450,425.52,438.07
438.14,443.58,433.06,435.48
435.65,445.52,434.43,442.56
443.01,459.54,443.01,455
455.78,458.33,448,455.51
455.5,457.45,407.25,417.39
417.11,425.42,410.5,421.76
421.78,429.86,417.01,421.46
420.81,433.33,418.55,431.82
431.7,434.97,420.75,425.84
426.09,433.89,419.99,430.89
430.89,436,427.2,433.82
434.87,435.99,430.42,433.55
433.2,434.09,424.06,431.04
431.54,435.86,428.44,434.17
433.31,435.39,429.5,432.43
432.45,432.67,426.54,429.56
429.99,459.16,429.25,457
456.87,465,444.51,452.7
452.02,454,446.68,448.84
448.84,449.89,440.8,448.79
448.2,451.13,438,448
448,448,434.35,434.85
434.78,438.35,424.5,432.64
432.64,434,427,429.55
429.55,429.8,360,360
360.62,392.07,352,386.91
387.8,391.14,376,380.16
379.94,388.5,373.63,385.49
385.47,386.92,375.59,376.76
376.9,422.98,372.53,416.32
418.9,421.25,404.59,409.59
409.42,410.07,374.45,382.55
382.85,395,381.05,386.4
386.37,405.97,385.36,402.16
402.16,402.31,385.5,390.9
390.1,397.7,386.2,391.77
391.77,397,390.31,394.95
394.62,395.56,376,379.75
379.55,383.99,363.73,378.22
378.12,380.42,372.95,375.64
376.38,379.3,364.7,368.49
368.49,378.2,366.53,371.81
371.79,375,369.73,373.05
373.05,374,365,368.38
368.4,391.88,367.95,387.82
388,389.5,382.99,385
384.97,384.98,371.35,375.39
375.39,380,373.04,375
375,378.99,369.99,370.91
370.95,377,369.12,373.2
373.69,383.85,372.12,379.66
379.34,380.5,373.54,377.98
377.98,383.48,377.07,383.27
383,390.99,382,390.99
390.99,406.71,390.59,405
405.5,409.71,393.4,399.28
399.5,407.8,396,407.51
407.51,421.11,404,415.54
415.59,424.9,413.4,421.18
421.15,422,414,419.54
419.98,443.96,419.5,434.63
434.63,447.99,426,438.5
438.33,439.5,431.15,438.27
438.26,440,414,419.1
419.1,424.28,409.07,423.78
423.79,426.75,415.79,423.51
423.38,432,418.01,432
432,435,428.22,431.07
431.07,435,422.29,431.68
430.26,440.99,428.12,435.23
436.75,437.5,427.01,432.5
433.33,434.5,421.31,423.45
422.4,424.47,415.85,420.29
420.29,423.9,406.02,408.01
408.18,408.98,382,399.83
399.77,412.31,393.11,406.23
406.15,414.96,403.03,414.01
413.96,414.99,408.46,411.75
412.14,413.51,408.75,413
412.99,416.9,409.31,416
416,421.91,415.11,419.13
419.14,420.93,406.59,410.9
409.95,417,409.67,413.04
412.99,415.22,410.5,414.99
414.83,417.43,412.15,415.85
415.84,416.82,413.15,416.57
416.52,419,415.66,418.49
418.47,418.49,403.34,407.91
407.5,409.95,404.1,409.04
408.36,412,406.6,411.28
410.62,411.96,406.5,411.67
411.15,416.99,410.35,416.64
416.39,419,413.44,417.62
417.62,418.15,412.85,415.17
415.17,416.92,412,415.7
415.6,416.99,414,416.96
416.96,427.99,415.77,424.77
424.62,424.77,420.32,422.87
422.87,424.37,407.22,415.95
415.43,415.93,408.59,413.74
413.68,416.99,411.4,414.66
414.66,416.99,413.42,416.31
416.31,420,416.01,419
419.35,419.48,416.1,419.11
418.51,419.85,416,418.75
418.81,423,416.61,422.71
422.71,422.9,420,421.03
420.62,421.99,418.09,420
419.99,423.99,416.26,417.75
417.75,418.71,412,418.24
418.59,421.79,417.2,420.04
420.4,422.8,418,422.69
422.79,426.67,421,425.54
425.32,426,422.27,423.93
423.6,425.35,420.57,424.86
424.4,430,423.07,429.45
429.29,432.87,381.47,430.69
430.18,430.91,377.87,427.42
427.15,430.01,425.8,428.14
428.14,436.82,426.24,435.63
435.7,444,433.11,442.13
441.99,452.11,440,451
451,451.36,442.96,447.7
447.16,452.19,444.46,451.92
451.92,470.02,447.06,460.02
460.03,469.47,455.13,462.33
462.29,469.87,462.13,467.42
467.39,469.03,443.2,445.38
445.39,451,435,449.14
449.94,456.53,445.62,456.53
456.53,456.9,446.5,448.37
448.43,453.78,446.84,453
452.99,453.8,438.59,444.06
444.06,452,440.78,450.61
451.18,451.68,444.15,446.63
447.36,450,445.11,448.5
448.5,463.97,447.03,458.48
458.98,461,455.95,458.07
458.97,459.69,455.95,458.21
457.75,464.79,455.62,460.82
461.49,463,447.38,451.62
450.88,457.99,450.32,452.91
452.95,455.25,448.88,455.2
455.2,456.82,452.04,455.91
456.42,457.25,453.51,455.57
456.3,458.08,454.72,457.56
457.56,458,451.11,454
454,456.09,452,453.08
452.96,455.68,452,452.92
452.47,453.85,435.03,436.3
436.3,444.41,435.06,442.72
442.84,443.98,435.28,443.31
442.72,443.47,435,438.8
438.72,442.99,436.4,442.99
442.63,446.37,441,443.97
445.31,449.6,444.26,448.7
448.27,452.98,446.8,452.07
452.07,478.16,452.07,472.05
470.58,529.08,468,519.41
522.13,540,485,517.84
517.6,535,510.01,527.64
527.64,548.5,515,531.84
532.37,542.87,525.49,536.95
536.95,540,529.13,538
538,578.37,535.74,569.94
569.93,588.71,558.54,573.8
573.5,582,566,573.91
573.8,586.02,573.8,584.5
584.12,594.44,563,577.54
577.48,584.25,571.86,583.03
583.01,583.1,572.97,575.01
576.06,580,572,578.01
576.53,611,575.93,610
610,683.02,603.21,672.13
668.73,725,655.02,704.49
703.81,704.5,655,685.25
685.25,695.77,672.12,695
695,773.07,689.8,766.62
767.37,778.7,706.37,745.22
745,778.85,723.02,754.83
753.47,764.93,740.11,761.44
759.12,763.99,723.4,730.85
725,728.18,625,667.54
665.36,677.63,588.03,601.3
600.51,632.67,1.5,624.91
622.59,683.88,620.82,661.71
660.76,684.45,639.4,659.86
658.8,662.9,608.64,630.16
630.16,658,618.03,657.5
657.49,665.51,635.5,646.08
644.33,645,621.09,634.11
635.91,671.22,628.06,667.95
666.33,684.1,659.71,674.86
674.55,704.93,672.74,702.48
702.48,704.99,646.29,658.27
659.77,682.35,640.1,680.35
678.74,682.36,661.57,668.94
669.09,679,662.13,674.7
674.7,678.43,605.5,638.19
638.89,665.99,635,663
663,663.99,626,647.78
647.78,650.88,636.8,648.76
648.77,659.6,639.31,649.32
649.32,678,646.05,663.52
663.52,669.97,651.03,655.06
