"open","high","low","close","volume","ema26","cny","ltc","next1"
597.14,608.98,586.25,608.97,2.8,592.2034561,6.210708,0.01594,605.89
608.97,625,603.41,605.89,10,593.2172742,6.210966,0.0159,595.93
605.89,627.05,594.12,595.93,8.41,593.4182169,6.217223,0.01676,593.9
595.93,602.79,578.51,593.9,5.81,593.4539045,6.216059,0.01665,590.59
593.9,598.5,581.09,590.59,0.7642,593.2417634,6.212698,0.0165,596.24
590.59,602.33,584.75,596.24,8.34,593.463855,6.21299,0.01628,584.42
596.24,596.24,584.42,584.42,2.64,592.7939398,6.2125,0.01633,586.15
584.42,595.23,576.13,586.15,2.85,592.3017961,6.21318,0.01651,564.42
586.15,586.15,557.43,564.42,29.23,590.2364779,6.217799,0.01623,583.26
564.42,583.26,564.42,583.26,2.76,589.7197018,6.220052,0.01563,597.69
583.26,600,575.35,597.69,21.78,590.3100942,6.213757,0.01547,596.12
597.69,604.38,590.76,596.12,4.14,590.7404576,6.207016,0.01537,589.76
596.12,602.3,589.76,589.76,0.9983,590.6678311,6.206219,0.0149,637.07
589.76,645,587.72,637.07,18.67,594.1050288,6.205803,0.01393,650
637.07,657.83,634.16,650,12.04,598.2453971,6.19543,0.01307,645.77
650,658.87,638,645.77,25.77,601.765738,6.191039,0.01261,647.55
645.77,655.08,638.89,647.55,6.04,605.1571648,6.199959,0.01259,635.25
647.55,655,622.6,635.25,10.3,607.3862637,6.201261,0.01161,628.99
635.25,635.25,618,628.99,3.74,608.9865405,6.198297,0.01155,629.1
628.99,652.78,628.99,629.1,2.25,610.4764264,6.200043,0.01127,625.99
629.1,638.97,614.74,625.99,6.47,611.62558,6.20586,0.01224,617.04
625.99,626.87,614.74,617.04,1.44,612.0266481,6.198928,0.01232,627.9
617.04,627.9,615.35,627.9,1.63,613.202452,6.19803,0.01257,614.47
627.9,632.11,614.47,614.47,0.6427,613.2963444,6.193982,0.01254,629.46
614.47,629.46,614.47,629.46,1.5,614.4936522,6.194739,0.01246,632
629.46,639.34,629.46,632,0.6899,615.7904187,6.195723,0.01365,626.5
632,653.49,625.29,626.5,1.05,616.5837211,6.194826,0.01438,626.23
626.5,632.67,618.14,626.23,1.34,617.2982602,6.19446,0.0142,620.03
626.23,626.23,620.03,620.03,0.18,617.5006113,6.197868,0.01393,625.22
620.03,626.16,612.9,625.22,7.41,618.0724179,6.200212,0.01353,624.98
625.22,630.01,610.35,624.98,0.9631,618.5840906,6.19765,0.01421,626
624.98,629,615.17,626,12.29,619.1334173,6.196868,0.01411,630
626,630,626,630,1.56,619.9383493,6.199752,0.01411,619
630,630,619,619,0.5068,619.868842,6.198592,0.01379,629.77
619,629.77,619,629.77,0.0006352,620.6022611,6.2067,0.01392,618.69
629.77,629.77,618.69,618.69,8.44,620.4606121,6.20127,0.0138,618.62
618.69,623.98,610,618.62,7.5,620.3242705,6.195547,0.01376,605.64
618.62,623.43,593.86,605.64,17.72,619.2365467,6.191859,0.01304,596.08
605.64,623.22,593.8,596.08,8.67,617.521247,6.188057,0.01258,600
596.08,607.96,593.8,600,5.06,616.2233768,6.185641,0.01281,600
600,600,600,600,0.1545,615.0216452,6.186159,0.01319,591.9
600,600,574.58,591.9,4.09,613.3089308,6.186246,0.01305,583.21
591.9,597.66,575.07,583.21,2.68,611.0793803,6.182646,0.01314,566.75
583.21,588.98,566.75,566.75,11.67,607.7957225,6.177176,0.01298,590.21
566.75,591.95,566.75,590.21,33.05,606.4930764,6.170139,0.01301,596.4
590.21,602.36,584.77,596.4,3.05,605.7454411,6.172315,0.01291,590.49
596.4,601.18,590.49,590.49,2.57,604.6154084,6.178579,0.01294,578.86
590.49,594.8,578.86,578.86,1.79,602.7076004,6.178215,0.01281,596.25
578.86,596.25,578.86,596.25,4.11,602.2292596,6.1774,0.0127,579
